c 9th DIMACS Implementation Challenge: Shortest Paths
c http://www.dis.uniroma1.it/~challenge9
c TIGER/Line graph USA-road-d.NY
c
p sp 100 118
c graph contains 100 nodes and 99 arcs
c
a 1 2 4
a 1 3 3
a 2 4 7
a 3 5 2
a 4 6 5
a 5 7 6
a 6 8 1
a 7 9 9
a 8 10 2
a 9 11 3
a 10 12 8
a 11 13 6
a 12 14 7
a 13 15 2
a 14 16 3
a 15 17 9
a 16 18 5
a 17 19 8
a 18 20 7
a 19 21 2
a 20 22 1
a 21 23 5
a 22 24 9
a 23 25 6
a 24 26 7
a 25 27 2
a 26 28 3
a 27 29 1
a 28 30 5
a 29 31 7
a 30 32 9
a 31 33 4
a 32 34 2
a 33 35 6
a 34 36 1
a 35 37 7
a 36 38 3
a 37 39 8
a 38 40 5
a 39 41 9
a 40 42 2
a 41 43 3
a 42 44 5
a 43 45 8
a 44 46 2
a 45 47 7
a 46 48 3
a 47 49 4
a 48 50 1
a 49 51 7
a 50 52 9
a 51 53 6
a 52 54 2
a 53 55 7
a 54 56 5
a 55 57 3
a 56 58 8
a 57 59 1
a 58 60 6
a 59 61 2
a 60 62 9
a 61 63 4
a 62 64 7
a 63 65 3
a 64 66 5
a 65 67 9
a 66 68 1
a 67 69 7
a 68 70 2
a 69 71 8
a 70 72 6
a 71 73 4
a 72 74 7
a 73 75 1
a 74 76 5
a 75 77 3
a 76 78 2
a 77 79 9
a 78 80 6
a 79 81 4
a 80 82 7
a 81 83 2
a 82 84 5
a 83 85 9
a 84 86 3
a 85 87 1
a 86 88 7
a 87 89 4
a 88 90 8
a 89 91 2
a 90 92 6
a 91 93 3
a 92 94 1
a 93 95 7
a 94 96 2
a 95 97 5
a 96 98 8
a 97 99 3
a 98 100 1
a 100 1 2
a 20 50 7
a 30 10 6
a 40 80 9
a 25 75 8
a 35 15 1
a 45 95 4
a 55 5 3
a 65 85 5
a 70 30 7
a 80 40 6
a 90 60 2
a 22 82 1
a 11 91 5
a 100 50 9
a 1 71 8
a 2 72 4
a 3 73 3
a 4 74 7
a 5 75 6
