    c 9th DIMACS Implementation Challenge: Shortest Paths
c http://www.dis.uniroma1.it/~challenge9
c TIGER/Line graph USA-road-d.NY
c
p sp 110 137
c graph contains 100 nodes and 99 arcs
c
a 1 2 4
a 1 3 5
a 2 3 7
a 2 4 6
a 3 5 8
a 4 6 2
a 5 7 1
a 6 8 3
a 7 9 9
a 8 10 7
a 9 11 2
a 10 12 8
a 11 13 6
a 12 14 1
a 13 15 5
a 14 16 3
a 15 17 4
a 16 18 2
a 17 19 7
a 18 20 9
a 19 21 1
a 20 22 6
a 21 23 4
a 22 24 2
a 23 25 8
a 24 26 1
a 25 27 9
a 26 28 7
a 27 29 3
a 28 30 5
a 29 31 2
a 30 32 4
a 31 33 6
a 32 34 8
a 33 35 2
a 34 36 7
a 35 37 3
a 36 38 1
a 37 39 4
a 38 40 6
a 39 41 9
a 40 42 7
a 41 43 5
a 42 44 3
a 43 45 2
a 44 46 4
a 45 47 8
a 46 48 6
a 47 49 1
a 48 50 9
a 49 51 3
a 50 52 2
a 51 53 7
a 52 54 5
a 53 55 4
a 54 56 6
a 55 57 1
a 56 58 2
a 57 59 8
a 58 60 4
a 59 61 3
a 60 62 7
a 61 63 5
a 62 64 2
a 63 65 9
a 64 66 1
a 65 67 6
a 66 68 4
a 67 69 8
a 68 70 7
a 69 71 3
a 70 72 2
a 71 73 4
a 72 74 6
a 73 75 8
a 74 76 5
a 75 77 2
a 76 78 9
a 77 79 1
a 78 80 7
a 79 81 3
a 80 82 2
a 81 83 6
a 82 84 4
a 83 85 5
a 84 86 8
a 85 87 2
a 86 88 9
a 87 89 1
a 88 90 7
a 89 91 5
a 90 92 3
a 91 93 4
a 92 94 2
a 93 95 6
a 94 96 8
a 95 97 3
a 96 98 7
a 97 99 1
a 98 100 9
a 99 101 5
a 100 102 3
a 101 103 2
a 102 104 4
a 103 105 8
a 104 106 6
a 105 107 1
a 106 108 9
a 107 109 5
a 108 110 2
a 2 7 6
a 8 15 3
a 20 30 5
a 40 50 7
a 60 70 9
a 80 90 4
a 100 110 2
a 22 33 6
a 44 55 3
a 66 77 7
a 88 99 5
a 10 20 9
a 30 40 1
a 50 60 3
a 70 80 5
a 90 100 2
a 14 26 8
a 38 52 6
a 64 76 9
a 84 96 4
a 16 31 7
a 42 57 1
a 68 83 3
a 1 110 5
a 13 24 9
a 37 48 2
a 61 72 6
a 85 96 4
